zona,enderecos_lista,aluguel,area_m²,quartos
norte,"Rua Vinte E Oito De Janeiro, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",3500,120,3
norte,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",1450,28,1
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2470,132,3
norte,"Avenida Manoel Domingos Pinto, Jardim Peri, São Paulo Zona Norte, São Paulo",1200,45,2
norte,"Ataliba Vieira, Vila Medeiros, São Paulo Zona Norte, São Paulo",25000,1600,
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1850,37,1
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1550,52,2
norte,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",980,24,1
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15,1
norte,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1480,49,2
norte,"Rua Mario Araújo, Santana, São Paulo Zona Norte, São Paulo",1300,40,1
norte,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2500,105,3
norte,"Rua Conde Luiz E. Matarazzo, Jardim São Silvestre, São Paulo Zona Norte, São Paulo",1050,55,2
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2000,70,3
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2000,56,2
norte,"Rua Rafael De Oliveira, Água Fria, São Paulo Zona Norte, São Paulo",2300,150,2
norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2448,62,2
norte,"Rua Chico De Paula, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",8500,354,5
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1750,75,2
norte,"Rua Márcio Mazzei, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2000,62,2
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1910,110,3
norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",3600,208,3
norte,"Rua Cecília Meireles, Jardim Japão, São Paulo Zona Norte, São Paulo",4000,285,3
norte,"Rua José Hernandes Gonzáles, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1700,70,2
norte,"R. Antônio Guganis, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3500,100,3
norte,"Avenida Mofarrej, Jardim Peri, São Paulo Zona Norte, São Paulo",3900,70,2
norte,"Rua Joaquim Afonso De Souza, Vila Celeste, São Paulo Zona Norte, São Paulo",820,38,1
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3200,110,3
norte,"Rua Carlos Escobar, Santana, São Paulo Zona Norte, São Paulo",4000,103,3
norte,"Rua Gaurama, Jardim França, São Paulo Zona Norte, São Paulo",5000,400,5
norte,"Rua Tenente José Antunes, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1600,107,2
norte,"Rua Manuel De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",2350,65,3
norte,"Rua Terceiro-sargento João Soares De Faria - Parque Novo Mundo, São Paulo - Sp, Brasil, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",3500,300,5
norte,"Rua Dona Martinha, Santa Teresinha, São Paulo Zona Norte, São Paulo",2000,56,2
norte,"Rua Dias Da Silva, Vila Maria, São Paulo Zona Norte, São Paulo",1700,60,2
norte,"Rua Mira Estrela, Tucuruvi, São Paulo Zona Norte, São Paulo",1500,50,2
norte,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1500,50,2
norte,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",5200,207,3
norte,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2300,50,2
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",4000,140,3
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1785,92,2
norte,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2616,100,2
norte,"Rua Salvador Tolezano, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1730,95,2
norte,"Rua Alberto Lohnhoff, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1500,70,2
norte,"Rua Doutor César, Santana, São Paulo Zona Norte, São Paulo",2200,88,3
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2100,90,2
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1000,50,2
