bairro,zona,area,quartos,aluguel
Jardim Bonfiglioli ,-oeste,120,3,3200
Jardim Bonfiglioli ,-oeste,120,3,3200
Jardim Bonfiglioli ,-oeste,400,,4000
Jardim Bonfiglioli ,-oeste,400,,5500
Jardim Bonfiglioli ,-oeste,170,3,3600
Jardim Bonfiglioli ,-oeste,120,3,3500
Jardim Bonfiglioli ,-oeste,220,4,2700
Jardim Bonfiglioli ,-oeste,125,3,3200
Jardim Bonfiglioli ,-oeste,120,3,2000
Jardim Bonfiglioli ,-oeste,70,2,1700
Jaguaré ,-oeste,85,2,1800
Jaguaré ,-oeste,40,1,1250
Jaguaré ,-oeste,60,2,1600
Jaguaré ,-oeste,60,2,1600
Jaguaré ,-oeste,30,1,600
Jaguaré ,-oeste,40,1,1390
Jaguaré ,-oeste,170,3,3000
Jaguaré ,-oeste,300,5,5000
Jaguaré ,-oeste,150,4,3800
Jaguaré ,-oeste,200,3,2562
Jaguaré ,-oeste,85,2,2000
Jaguaré ,-oeste,190,3,5200
Jaguaré ,-oeste,60,2,1600
Jaguaré ,-oeste,85,2,2000
Jaguaré ,-oeste,90,2,3150
Jaguaré ,-oeste,150,3,3850
Jaguaré ,-oeste,85,2,2000
Jaguaré ,-oeste,250,1,4500
Jaguaré ,-oeste,160,2,3500
Jaguaré ,-oeste,50,1,2300
Jaguaré ,-oeste,150,3,5000
Vila Ipojuca ,-oeste,130,3,4200
Vila Ipojuca ,-oeste,175,2,2700
Vila Ipojuca ,-oeste,172,4,10000
Vila Ipojuca ,-oeste,250,,3500
Vila Ipojuca ,-oeste,297,4,5500
Vila Ipojuca ,-oeste,280,4,6000
Vila Ipojuca ,-oeste,350,3,7000
Vila Ipojuca ,-oeste,350,3,7800
Vila Ipojuca ,-oeste,150,2,3800
Vila Ipojuca ,-oeste,300,4,7000
Vila Ipojuca ,-oeste,65,1,1650
Vila Ipojuca ,-oeste,60,1,1600
Vila Ipojuca ,-oeste,350,3,5000
Vila Ipojuca ,-oeste,85,1,1650
Vila Ipojuca ,-oeste,60,1,1350
Vila Ipojuca ,-oeste,295,3,6500
Vila Ipojuca ,-oeste,20,1,850
Jardim Das Vertentes ,-oeste,260,3,2800
Jardim Das Vertentes ,-oeste,,2,2500
Jardim Das Vertentes ,-oeste,147,3,4000
Jardim Das Vertentes ,-oeste,420,5,3000
Jardim Das Vertentes ,-oeste,60,1,1700
Jardim Das Vertentes ,-oeste,60,1,1800
Jardim Das Vertentes ,-oeste,56,3,370000
Jardim Das Vertentes ,-oeste,150,3,3100
Jardim Das Vertentes ,-oeste,230,3,2400
Jardim Das Vertentes ,-oeste,100,3,419500
Jardim Das Vertentes ,-oeste,180,3,3000
Jardim Das Vertentes ,-oeste,100,3,2600
Jardim Das Vertentes ,-oeste,200,3,3830
Jardim Das Vertentes ,-oeste,180,3,2900
Jardim Das Vertentes ,-oeste,140,3,2700
Jardim Das Vertentes ,-oeste,140,3,3000
Jardim Das Vertentes ,-oeste,100,3,2700
Jardim Das Vertentes ,-oeste,190,3,2950
Jardim Das Vertentes ,-oeste,190,3,4200
Jardim Das Vertentes ,-oeste,190,3,4300
Jardim Das Vertentes ,-oeste,180,3,2900
Butantã ,-oeste,417,5,12000
Butantã ,-oeste,350,8,9730
Butantã ,-oeste,70,2,2400
Butantã ,-oeste,500,4,11000
Butantã ,-oeste,120,3,3500
Butantã ,-oeste,517,4,25600
Butantã ,-oeste,206,3,2950
Butantã ,-oeste,400,4,7500
Butantã ,-oeste,125,3,3000
Butantã ,-oeste,150,,4000
Butantã ,-oeste,100,3,3000
Butantã ,-oeste,350,3,12000
Butantã ,-oeste,590,,15000
Butantã ,-oeste,170,4,2800
Butantã ,-oeste,331,,12500
Butantã ,-oeste,230,,8000
Butantã ,-oeste,320,4,10000
Butantã ,-oeste,170,4,2800
Butantã ,-oeste,280,4,14000
Butantã ,-oeste,240,4,7500
Butantã ,-oeste,329,4,9700
Jardim Pinheiros ,-oeste,600,17,45000
Jardim Pinheiros ,-oeste,297,4,15500
Jardim Pinheiros ,-oeste,300,3,10000
Jardim Pinheiros ,-oeste,440,5,10000
Jardim Pinheiros ,-oeste,1250,5,110000
Jardim Pinheiros ,-oeste,300,,22000
Jardim Pinheiros ,-oeste,697,5,10000
Jardim Pinheiros ,-oeste,297,4,15500
Jardim Pinheiros ,-oeste,183,3,4500
Jardim Pinheiros ,-oeste,180,3,4000
Jardim Pinheiros ,-oeste,671,4,18000
Jardim Pinheiros ,-oeste,297,4,17000
Jardim Pinheiros ,-oeste,312,,19000
Jardim Pinheiros ,-oeste,260,3,10000
Jardim Pinheiros ,-oeste,500,4,18000
Jardim Pinheiros ,-oeste,340,3,12000
Jardim Pinheiros ,-oeste,599,4,40000
Jardim Pinheiros ,-oeste,331,,19000
Jardim Pinheiros ,-oeste,250,5,8000
Jardim Pinheiros ,-oeste,360,12,20000
Jardim Pinheiros ,-oeste,340,3,12000
Vila Gomes ,-oeste,130,3,2700
Vila Gomes ,-oeste,150,3,2700
Vila Gomes ,-oeste,150,3,2500
Vila Gomes ,-oeste,140,3,3400
Vila Gomes ,-oeste,140,3,3300
Vila Gomes ,-oeste,200,2,2400
Vila Gomes ,-oeste,200,2,2350
Vila Gomes ,-oeste,60,2,1800
Vila Gomes ,-oeste,3000,3,2800
Vila Gomes ,-oeste,70,2,1500
Vila Gomes ,-oeste,60,2,1790
Vila Gomes ,-oeste,105,3,2300
Vila Gomes ,-oeste,125,3,3200
Vila Gomes ,-oeste,250,3,3200
Vila Gomes ,-oeste,70,2,2100
Vila Gomes ,-oeste,250,3,2800
Vila Gomes ,-oeste,250,3,3000
Vila Gomes ,-oeste,300,3,3500
Vila Gomes ,-oeste,125,3,3200
Vila Gomes ,-oeste,140,3,2900
Vila Gomes ,-oeste,200,3,3300
Vila Pompéia ,-oeste,144,3,5700
Vila Pompéia ,-oeste,100,1,2300
Vila Pompéia ,-oeste,200,2,7000
Vila Pompéia ,-oeste,325,,13000
