zona,area_quartos,enderecos_lista,aluguel
zona-norte,35 m² construídos1 quarto,"Avenida Doutor Benedito Estevam Dos Santos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.000
zona-norte,60 m² construídos2 quartos,"Avenida Antônio De Souza Noschese, Jardim Peri, São Paulo Zona Norte, São Paulo",1.700
zona-norte,42 m² construídos2 quartos,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.200
zona-norte,45 m² construídos1 quarto,"Rua Padre Leão Peruche, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.500
zona-norte,98 m² construídos3 quartos,"Rua Jesuíno De Brito, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",2.100
zona-norte,52 m² construídos2 quartos,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.800
zona-norte,90 m² construídos3 quartos,"Rua Da Bica, Jardim Peri, São Paulo Zona Norte, São Paulo",3.200
zona-norte,50 m² construídos2 quartos,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.236
zona-norte,70 m² construídos2 quartos,"Avenida Mofarrej, Jardim Peri, São Paulo Zona Norte, São Paulo",3.750
zona-norte,65 m² construídos2 quartos,"Rua Barra Da Jangada, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.700
zona-norte,65 m² construídos2 quartos,"Rua Barra Da Jangada, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.700
zona-norte,65 m² construídos2 quartos,"Rua Barra Da Jangada, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.700
zona-norte,60 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.650
zona-norte,68 m² construídos2 quartos,"Rua Ribeiro De Morais, Vila Albertina, São Paulo Zona Norte, São Paulo",1.600
zona-norte,50 m² construídos1 quarto,"Rua Doutor Gabriel Covelli, Parque Peruche, São Paulo Zona Norte, São Paulo",1.100
zona-norte,50 m² construídos2 quartos,"Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.187
zona-norte,97 m² construídos2 quartos,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.600
zona-norte,70 m² construídos2 quartos,"Avenida Maestro Villa-lobos, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.500
