zona_bairro,area_quartos,enderecos_lista,aluguel
Brás-centro,130 m² construídos3 quartos,"Brás, São Paulo Centro, São Paulo",2.800
Brás-centro,150 m² totais3 quartos,"Brás, São Paulo Centro, São Paulo",3.000
Brás-centro,110 m² construídos2 quartos,"Rua Vieira Martins 43, Brás, São Paulo Centro, São Paulo",2.550
Brás-centro,90 m² construídos3 quartos,"Brás, São Paulo Centro, São Paulo",1.850
Brás-centro,15 m² construídos1 quarto,"Rua João Teodoro, 318, Brás, São Paulo Centro, São Paulo",1.200
República-centro,30 m² construídos1 quarto,"Avenida São João, República, São Paulo Centro, São Paulo",320.000
República-centro,360 m² construídos,"Avenida Ipiranga, República, São Paulo Centro, São Paulo",9.000
República-centro,29 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.300
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.900
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.100
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.700
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.700
República-centro,38 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.900
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.600
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.600
República-centro,35 m² totais,"República, São Paulo Centro, São Paulo",1.100
República-centro,28 m² construídos1 quarto,"Campos Elíseos, São Paulo Centro, São Paulo",1.100
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.200
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.500
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.000
República-centro,39 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.500
República-centro,38 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.600
República-centro,38 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.650
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.650
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.300
República-centro,28 m² construídos1 quarto,"Praça Da República, República, São Paulo Centro, São Paulo",2.200
Bom-Retiro-centro,45 m² construídos1 quarto,"Bom Retiro, São Paulo Centro, São Paulo",1.450
Bom-Retiro-centro,55 m² construídos1 quarto,"Bom Retiro, São Paulo Centro, São Paulo",1.450
Bom-Retiro-centro,30 m² construídos1 quarto,"Anhaia, Bom Retiro, São Paulo Centro, São Paulo",1.700
Bom-Retiro-centro,180 m² construídos2 quartos,"Rua Irradiação, Bom Retiro, São Paulo Centro, São Paulo",2.500
Santa-Efigênia-centro,28 m² construídos1 quarto,"Santa Efigênia, São Paulo Centro, São Paulo",1.000
Luz-centro,100 m² construídos1 quarto,"Luz, São Paulo Centro, São Paulo",3.000
Luz-centro,300 m² construídos3 quartos,"Luz, São Paulo Centro, São Paulo",15.000
Luz-centro,480 m² construídos2 quartos,"R Luís Pacheco, Luz, São Paulo Centro, São Paulo",5.000
Luz-centro,60 m² construídos20 quartos,"Rua Euricles Félix De Matos, Luz, São Paulo Centro, São Paulo",3.200
Luz-centro,100 m² construídos2 quartos,"Luz, São Paulo Centro, São Paulo",2.200
Luz-centro,200 m² construídos2 quartos,"Luz, São Paulo Centro, São Paulo",5.000
Luz-centro,28 m² construídos2 quartos,"Nba Ao Vivo E De Graça Com Bud 1876, Luz, São Paulo Centro, São Paulo",1.876
Luz-centro,150 m² construídos3 quartos,"Rua Guaporé 262, Luz, São Paulo Centro, São Paulo",690.000
Vila-Deodoro-centro,135 m² construídos4 quartos,"Vila Deodoro, São Paulo Centro, São Paulo",5.200
Vila-Deodoro-centro,65 m² construídos3 quartos,"Vila Deodoro, São Paulo Centro, São Paulo",2.500
Morro-Dos-Ingleses-centro,100 m² construídos2 quartos,"Morro Dos Ingleses, São Paulo Centro, São Paulo",3.836
Morro-Dos-Ingleses-centro,100 m² construídos2 quartos,"Rua Dos Ingleses, 621, Morro Dos Ingleses, São Paulo Centro, São Paulo",3.836
Pinheiros-zona-oeste,250 m² construídos3 quartos,"Rua Mourato Coelho, 1344, Pinheiros, São Paulo Zona Oeste, São Paulo",11.000
Pinheiros-zona-oeste,492 m² construídos4 quartos,"Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",15.000
Pinheiros-zona-oeste,450 m² construídos4 quartos,"Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",13.010
Pinheiros-zona-oeste,152 m² construídos6 quartos,"Pinheiros, São Paulo Zona Oeste, São Paulo",5.000
Pinheiros-zona-oeste,170 m² construídos4 quartos,"Pinheiros, São Paulo Zona Oeste, São Paulo",6.000
Pinheiros-zona-oeste,95 m² construídos,"Pinheiros, São Paulo Zona Oeste, São Paulo",8.000
Pinheiros-zona-oeste,450 m² construídos3 quartos,"Pc Pero Vaz De Caminha, Vila Madalena, São Paulo Zona Oeste, São Paulo",8.500
Pinheiros-zona-oeste,287 m² construídos,"Avenida Reboucas, Pinheiros, São Paulo Zona Oeste, São Paulo",22.000
Pinheiros-zona-oeste,350 m² construídos4 quartos,"Vila Madalena, São Paulo Zona Oeste, São Paulo",11.000
Pinheiros-zona-oeste,287 m² construídos,"Av Rebouças, Pinheiros, São Paulo Zona Oeste, São Paulo",22.000
Pinheiros-zona-oeste,120 m² construídos2 quartos,"Rua Oscar Freire, 2610, Pinheiros, São Paulo Zona Oeste, São Paulo",5.000
Pinheiros-zona-oeste,120 m² construídos2 quartos,"Rua Oscar Freire, 2604, Pinheiros, São Paulo Zona Oeste, São Paulo",5.500
Pinheiros-zona-oeste,110 m² construídos1 quarto,"R Paes Leme, Pinheiros, São Paulo Zona Oeste, São Paulo",2.200
Pinheiros-zona-oeste,297 m² construídos4 quartos,"Rua Banibás, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",15.500
Pinheiros-zona-oeste,347 m² construídos3 quartos,"R Orobó, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",12.000
Pinheiros-zona-oeste,359 m² construídos4 quartos,"Av Pedroso De Morais, Pinheiros, São Paulo Zona Oeste, São Paulo",16.000
Pinheiros-zona-oeste,300 m² construídos5 quartos,"R Alves Guimarães, Pinheiros, São Paulo Zona Oeste, São Paulo",26.000
Pinheiros-zona-oeste,200 m² construídos3 quartos,"R Henrique Schaumann, Pinheiros, São Paulo Zona Oeste, São Paulo",12.000
Pinheiros-zona-oeste,600 m² construídos17 quartos,"R Professor Moniz, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",45.000
